id_ligne,id_commande,id_client,id_produit,date_commande,ventes,Délai_Livraison,id_lieu
1,CA-2017-152156,CG-12520,FUR-BO-10001798,2017-11-08,261,3,1
2,CA-2017-152156,CG-12520,FUR-CH-10000454,2017-11-08,731,3,1
3,CA-2017-138688,DV-13045,OFF-LA-10000240,2017-06-12,14,4,2
4,US-2016-108966,SO-20335,FUR-TA-10000577,2016-10-11,957,7,3
5,US-2016-108966,SO-20335,OFF-ST-10000760,2016-10-11,22,7,3
6,CA-2015-115812,BH-11710,FUR-FU-10001487,2015-06-09,48,5,4
7,CA-2015-115812,BH-11710,OFF-AR-10002833,2015-06-09,7,5,4
8,CA-2015-115812,BH-11710,TEC-PH-10002275,2015-06-09,907,5,4
9,CA-2015-115812,BH-11710,OFF-BI-10003910,2015-06-09,18,5,4
10,CA-2015-115812,BH-11710,OFF-AP-10002892,2015-06-09,114,5,4
11,CA-2015-115812,BH-11710,FUR-TA-10001539,2015-06-09,1706,5,4
12,CA-2015-115812,BH-11710,TEC-PH-10002033,2015-06-09,911,5,4
13,CA-2018-114412,AA-10480,OFF-PA-10002365,2018-04-15,15,5,5
14,CA-2017-161389,IM-15070,OFF-BI-10003656,2017-12-05,407,5,6
15,US-2016-118983,HP-14815,OFF-AP-10002311,2016-11-22,68,4,7
16,US-2016-118983,HP-14815,OFF-BI-10000756,2016-11-22,2,4,7
17,CA-2015-105893,PK-19075,OFF-ST-10004186,2015-11-11,665,7,8
18,CA-2015-167164,AG-10270,OFF-ST-10000107,2015-05-13,55,2,9
19,CA-2015-143336,ZD-21925,OFF-AR-10003056,2015-08-27,8,5,10
20,CA-2015-143336,ZD-21925,TEC-PH-10001949,2015-08-27,213,5,10
21,CA-2015-143336,ZD-21925,OFF-BI-10002215,2015-08-27,22,5,10
22,CA-2017-137330,KB-16585,OFF-AR-10000246,2017-12-09,19,4,11
23,CA-2017-137330,KB-16585,OFF-AP-10001492,2017-12-09,60,4,11
24,US-2018-156909,SF-20065,FUR-CH-10002774,2018-07-16,71,2,12
25,CA-2016-106320,EB-13870,FUR-TA-10000577,2016-09-25,1044,5,13
26,CA-2017-121755,EH-13945,OFF-BI-10001634,2017-01-16,11,4,14
27,CA-2017-121755,EH-13945,TEC-AC-10003027,2017-01-16,90,4,14
28,US-2016-150630,TB-21520,FUR-BO-10004834,2016-09-17,3083,4,12
29,US-2016-150630,TB-21520,OFF-BI-10000474,2016-09-17,9,4,12
30,US-2016-150630,TB-21520,FUR-FU-10004848,2016-09-17,124,4,12
31,US-2016-150630,TB-21520,OFF-EN-10001509,2016-09-17,3,4,12
32,US-2016-150630,TB-21520,OFF-AR-10004042,2016-09-17,86,4,12
33,US-2016-150630,TB-21520,OFF-BI-10001525,2016-09-17,6,4,12
34,US-2016-150630,TB-21520,OFF-AR-10001683,2016-09-17,15,4,12
35,CA-2018-107727,MA-17560,OFF-PA-10000249,2018-10-19,29,4,15
36,CA-2017-117590,GH-14485,TEC-PH-10004977,2017-12-08,1097,2,16
37,CA-2017-117590,GH-14485,FUR-FU-10003664,2017-12-08,190,2,16
38,CA-2016-117415,SN-20710,OFF-EN-10002986,2016-12-27,113,4,17
39,CA-2016-117415,SN-20710,FUR-BO-10002545,2016-12-27,532,4,17
40,CA-2016-117415,SN-20710,FUR-CH-10004218,2016-12-27,212,4,17
41,CA-2016-117415,SN-20710,TEC-PH-10000486,2016-12-27,371,4,17
42,CA-2018-120999,LC-16930,TEC-PH-10004093,2018-09-10,147,5,18
43,CA-2017-101343,RA-19885,OFF-ST-10003479,2017-07-17,77,5,14
44,CA-2018-139619,ES-14080,OFF-ST-10003282,2018-09-19,95,4,19
45,CA-2017-118255,ON-18715,TEC-AC-10000171,2017-03-11,45,2,20
46,CA-2017-118255,ON-18715,OFF-BI-10003291,2017-03-11,17,2,20
47,CA-2015-146703,PO-18865,OFF-ST-10001713,2015-10-20,211,5,21
48,CA-2017-169194,LH-16900,TEC-AC-10002167,2017-06-20,45,5,22
49,CA-2017-169194,LH-16900,TEC-PH-10003988,2017-06-20,21,5,22
50,CA-2016-115742,DP-13000,OFF-BI-10004410,2016-04-18,38,4,23
51,CA-2016-115742,DP-13000,OFF-LA-10002762,2016-04-18,75,4,23
52,CA-2016-115742,DP-13000,FUR-FU-10001706,2016-04-18,6,4,23
53,CA-2016-115742,DP-13000,FUR-CH-10003061,2016-04-18,89,4,23
54,CA-2017-105816,JM-15265,OFF-FA-10000304,2017-12-11,15,6,24
55,CA-2017-105816,JM-15265,TEC-PH-10002447,2017-12-11,1029,6,24
56,CA-2017-111682,TB-21055,OFF-ST-10000604,2017-06-17,208,1,25
57,CA-2017-111682,TB-21055,OFF-PA-10001569,2017-06-17,32,1,25
58,CA-2017-111682,TB-21055,FUR-CH-10003968,2017-06-17,319,1,25
59,CA-2017-111682,TB-21055,OFF-PA-10000587,2017-06-17,14,1,25
60,CA-2017-111682,TB-21055,TEC-AC-10002167,2017-06-17,30,1,25
61,CA-2017-111682,TB-21055,OFF-BI-10001460,2017-06-17,48,1,25
62,CA-2017-111682,TB-21055,OFF-AR-10001868,2017-06-17,1,1,25
63,CA-2016-135545,KM-16720,TEC-AC-10004633,2016-11-24,13,6,26
64,CA-2016-135545,KM-16720,OFF-BI-10001078,2016-11-24,25,6,26
65,CA-2016-135545,KM-16720,OFF-PA-10003892,2016-11-24,146,6,26
66,CA-2016-135545,KM-16720,FUR-FU-10000397,2016-11-24,79,6,26
67,US-2016-164175,PS-18970,FUR-CH-10001146,2016-04-30,213,5,27
68,CA-2015-106376,BS-11590,OFF-AR-10002671,2015-12-05,1113,5,28
69,CA-2015-106376,BS-11590,TEC-PH-10002726,2015-12-05,167,5,28
70,CA-2017-119823,KD-16270,OFF-PA-10000482,2017-06-04,75,2,29
71,CA-2017-106075,HM-14980,OFF-BI-10004654,2017-09-18,4,5,30
72,CA-2018-114440,TB-21520,OFF-PA-10004675,2018-09-14,19,3,31
73,US-2016-134026,JE-15745,FUR-CH-10000513,2016-04-26,831,6,32
74,US-2016-134026,JE-15745,FUR-FU-10003708,2016-04-26,97,6,32
75,US-2016-134026,JE-15745,OFF-ST-10004123,2016-04-26,72,6,32
76,US-2018-118038,KB-16600,OFF-BI-10004182,2018-12-09,1,2,17
77,US-2018-118038,KB-16600,FUR-FU-10000260,2018-12-09,9,2,17
